# Episodio, Score
0, -85.85
1, -189.66
2, -434.02
3, -115.48
4, -294.39
5, -121.91
6, -102.03
7, -79.50
8, -98.21
9, -193.04
10, -318.42
11, -191.20
12, -140.51
13, -132.76
14, -291.62
15, -129.97
16, -121.82
17, -407.41
18, -127.10
19, -145.75
20, -403.84
21, -474.76
22, -222.67
23, 20.28
24, -123.95
25, -140.84
26, -219.75
27, -230.03
28, -83.64
29, -41.43
30, -86.95
31, -400.06
32, -192.81
33, -222.19
34, -110.02
35, -80.35
36, -493.16
37, -75.26
38, -170.70
39, -110.21
40, -268.05
41, -74.60
42, -167.22
43, -106.01
44, -105.82
45, -98.59
46, -120.31
47, -216.67
48, -126.00
49, -404.53
50, -43.44
51, -89.38
52, -80.76
53, -111.18
54, -98.29
55, -261.60
56, -246.40
57, -203.60
58, -299.81
59, -155.52
60, -126.66
61, -81.18
62, -223.93
63, -98.80
64, -65.52
65, -92.78
66, -245.53
67, -188.15
68, -124.19
69, -203.74
70, -82.22
71, -102.28
72, -98.05
73, -28.22
74, -76.12
75, -174.37
76, -69.33
77, -439.42
78, -69.49
79, -411.61
80, -83.48
81, -128.07
82, -60.91
83, -171.50
84, -55.23
85, -98.08
86, -253.14
87, -110.37
88, -104.65
89, -73.13
90, -98.53
91, -126.00
92, -87.01
93, -121.18
94, -47.34
95, -85.31
96, -32.66
97, -102.90
98, -61.29
99, -205.69
100, -109.25
101, -299.46
102, -102.53
103, -59.99
104, -97.94
105, -174.60
106, -123.61
107, -83.74
108, -43.39
109, -142.37
110, -110.73
111, -73.62
112, -85.09
113, -109.13
114, -114.92
115, -197.24
116, -1.07
117, -336.47
118, -104.10
119, -51.18
120, -26.93
121, -63.21
122, -65.47
123, -73.97
124, -143.29
125, -101.31
126, -93.23
127, -160.73
128, -112.88
129, -165.80
130, -73.91
131, -118.92
132, -65.91
133, -144.28
134, -48.48
135, -97.65
136, -92.76
137, -54.37
138, 43.91
139, -101.47
140, -184.01
141, -191.12
142, -111.39
143, -176.13
144, -63.26
145, -64.32
146, -39.45
147, -80.03
148, -100.64
149, -83.30
150, -208.77
151, 6.12
152, -95.38
153, -84.74
154, -50.64
155, -20.41
156, -82.79
157, -117.75
158, -28.92
159, -28.12
160, -168.07
161, -41.68
162, -111.38
163, -113.39
164, -87.69
165, -286.30
166, -205.97
167, -79.72
168, -26.86
169, -33.13
170, -52.68
171, -48.06
172, -44.53
173, -88.67
174, -102.88
175, -83.72
176, -33.27
177, -97.16
178, -63.67
179, -21.51
180, -47.05
181, -81.50
182, -87.77
183, -64.35
184, -75.29
185, -45.54
186, -42.07
187, -132.26
188, -37.98
189, -108.17
190, -47.32
191, 8.33
192, -39.71
193, -109.12
194, -32.81
195, -21.47
196, -41.02
197, -47.83
198, -288.51
199, -76.90
200, -58.76
201, -70.39
202, -38.32
203, -65.23
204, -60.17
205, -108.88
206, -82.51
207, -78.28
208, -81.82
209, -21.39
210, -71.47
211, -89.73
212, -126.58
213, -102.51
214, -77.61
215, -17.38
216, -64.54
217, -14.06
218, -44.89
219, -80.23
220, -51.60
221, -49.56
222, -69.60
223, -95.34
224, -113.91
225, -62.73
226, -49.94
227, 2.62
228, -35.32
229, -37.24
230, -33.46
231, -99.99
232, -92.90
233, -65.63
234, -48.10
235, -4.78
236, -62.02
237, -32.50
238, -61.13
239, -48.58
240, -36.38
241, -73.55
242, 2.29
243, -48.46
244, -43.67
245, -45.60
246, -57.10
247, -57.08
248, -51.55
249, -66.31
250, -38.12
251, -55.35
252, -67.08
253, -28.89
254, -94.06
255, -72.33
256, -124.69
257, 6.01
258, -5.79
259, -69.81
260, -43.49
261, -117.13
262, -107.72
263, -26.80
264, -97.76
265, -18.43
266, -62.05
267, -58.18
268, -73.76
269, -15.41
270, -97.18
271, -4.54
272, -38.77
273, -0.99
274, -9.17
275, -93.67
276, -59.98
277, -122.33
278, -1.83
279, -9.41
280, -292.65
281, 24.42
282, 0.68
283, -5.56
284, -74.79
285, 10.11
286, -55.13
287, -35.70
288, -6.99
289, -94.16
290, -61.08
291, -56.22
292, -113.45
293, -74.44
294, -45.78
295, -88.87
296, -25.28
297, 17.72
298, -43.86
299, -33.68
300, -101.11
301, -64.75
302, -209.27
303, -85.34
304, 23.06
305, -10.13
306, -51.85
307, -25.84
308, -208.55
309, -11.40
310, -107.12
311, -40.59
312, -24.07
313, -69.44
314, -80.28
315, -4.77
316, -23.30
317, -0.39
318, -243.99
319, -201.06
320, -108.09
321, 16.87
322, -108.89
323, -13.25
324, -5.13
325, -69.57
326, -126.57
327, -69.52
328, -19.65
329, -39.43
330, -47.36
331, -52.97
332, -86.23
333, -9.08
334, -96.89
335, -2.48
336, -43.36
337, -202.86
338, -178.73
339, -148.69
340, -6.06
341, -201.04
342, -81.42
343, -27.95
344, -3.03
345, -120.40
346, -88.09
347, -5.42
348, -7.55
349, -65.97
350, -48.38
351, -127.53
352, -22.14
353, -15.55
354, -84.35
355, -169.24
356, 3.49
357, -70.82
358, -45.44
359, -11.30
360, -4.73
361, -197.77
362, -82.43
363, -59.76
364, 36.39
365, -74.08
366, -55.23
367, -30.39
368, -84.96
369, -61.72
370, -61.71
371, -81.09
372, -152.23
373, 4.48
374, -39.20
375, -168.22
376, -170.63
377, 10.52
378, -98.67
379, -0.73
380, 14.29
381, -57.55
382, -24.46
383, -24.29
384, -33.71
385, -52.99
386, 3.84
387, -237.40
388, -122.02
389, -81.90
390, -35.80
391, -50.53
392, -58.88
393, 7.22
394, -2.21
395, -21.38
396, -15.86
397, -46.70
398, -30.00
399, -306.57
400, -49.01
401, -49.52
402, -106.05
403, -64.81
404, -13.40
405, -3.24
406, -232.59
407, -27.63
408, 30.38
409, -40.75
410, -166.42
411, -11.66
412, -43.71
413, -12.06
414, -74.81
415, -60.51
416, -25.97
417, 23.82
418, 7.29
419, -20.85
420, -23.43
421, -61.28
422, 5.91
423, 3.64
424, -27.96
425, -15.64
426, -4.69
427, 22.35
428, 122.24
429, -12.00
430, 7.22
431, -64.68
432, 18.81
433, -31.13
434, 0.57
435, -45.40
436, 27.75
437, 25.24
438, 28.98
439, 26.63
440, -57.71
441, 4.74
442, -53.04
443, -94.63
444, -8.20
445, -33.97
446, 58.47
447, 35.08
448, 1.43
449, 56.00
450, -21.74
451, -6.80
452, -23.29
453, 6.82
454, 22.07
455, -19.80
456, -55.82
457, -43.29
458, -48.35
459, -42.19
460, -21.65
461, 37.40
462, -18.61
463, 1.07
464, 40.75
465, -38.65
466, -13.19
467, -5.99
468, 28.79
469, -95.72
470, 82.24
471, 11.95
472, 40.40
473, 3.51
474, 53.32
475, 6.84
476, 65.37
477, 124.81
478, -3.82
479, -25.44
480, 16.79
481, 16.07
482, -18.40
483, -72.43
484, 20.15
485, 89.31
486, -8.11
487, -8.34
488, 43.36
489, 1.23
490, 8.40
491, -75.59
492, -3.24
493, 37.74
494, 130.47
495, -7.83
496, -72.61
497, 88.29
498, 2.33
499, 9.99
500, 28.49
501, -14.21
502, 63.89
503, 30.69
504, 65.07
505, 22.10
506, 100.63
507, 74.08
508, -37.90
509, 124.15
510, 0.24
511, 93.05
512, -21.42
513, 62.18
514, -56.68
515, -27.13
516, 28.39
517, 144.01
518, -14.09
519, -45.67
520, 61.46
521, -17.62
522, 57.26
523, 2.79
524, -26.98
525, 89.34
526, 81.26
527, -69.77
528, 53.72
529, 45.83
530, 106.88
531, 252.62
532, -0.21
533, 66.17
534, -6.30
535, 61.91
536, -32.58
537, 76.01
538, 44.38
539, 5.40
540, 111.50
541, 79.69
542, -28.19
543, -70.91
544, -68.39
545, 11.37
546, 44.50
547, -126.79
548, 67.96
549, 94.69
550, 47.43
551, 33.95
552, 81.58
553, 71.68
554, 31.46
555, 83.08
556, -1.37
557, 97.68
558, -147.89
559, -60.06
560, 67.49
561, 35.42
562, 55.25
563, 111.58
564, 110.74
565, -18.62
566, 107.84
567, 80.45
568, 81.25
569, 33.30
570, 52.22
571, 65.05
572, 25.32
573, 24.20
574, 38.44
575, 5.98
576, 23.11
577, 213.68
578, 13.80
579, 110.58
580, 6.53
581, 228.28
582, 73.17
583, -33.79
584, 12.19
585, -28.18
586, 224.94
587, 82.27
588, -36.98
589, -37.92
590, -27.57
591, 50.09
592, 117.26
593, -31.87
594, 71.93
595, 8.45
596, -5.27
597, -32.99
598, 43.54
599, 23.48
600, 60.36
601, -5.85
602, 51.20
603, 68.51
604, -33.54
605, 147.73
606, 47.24
607, 31.08
608, 7.89
609, 90.49
610, 63.16
611, -14.01
612, 237.66
613, 36.50
614, -86.00
615, 23.70
616, -8.27
617, -17.58
618, 106.48
619, -23.65
620, 65.06
621, 37.67
622, 121.92
623, 86.09
624, 7.84
625, -43.44
626, 241.94
627, 16.24
628, -8.55
629, -60.08
630, 18.18
631, -44.01
632, 14.38
633, 194.41
634, 81.50
635, 124.29
636, -15.94
637, -56.57
638, 277.38
639, 219.06
640, 99.89
641, -12.29
642, 86.77
643, -13.34
644, -9.28
645, 124.42
646, 10.65
647, 111.64
648, 209.20
649, 93.83
650, -44.08
651, 84.37
652, 210.69
653, 76.97
654, 55.75
655, 51.82
656, 201.89
657, -28.24
658, -221.83
659, 250.47
660, -5.06
661, -59.09
662, 266.78
663, 117.03
664, 100.19
665, 95.91
666, -31.43
667, -10.81
668, 141.59
669, 86.59
670, -17.94
671, 5.26
672, 217.61
673, 86.40
674, -106.47
675, 29.46
676, 118.51
677, -38.81
678, 174.76
679, -29.22
680, 207.37
681, 234.75
682, 192.06
683, -23.50
684, 219.60
685, 2.34
686, 11.11
687, 3.49
688, 113.84
689, 98.71
690, 231.28
691, 221.70
692, 65.75
693, 218.70
694, -19.09
695, 225.28
696, 193.94
697, 219.98
698, -4.64
699, 13.67
700, 242.68
701, 100.70
702, 6.40
703, 10.91
704, 220.46
705, 234.32
706, 85.85
707, 70.35
708, 62.50
709, 244.32
710, 121.47
711, 118.95
712, 20.01
713, 247.89
714, 188.83
715, 95.49
716, 225.46
717, 14.55
718, 251.50
719, 77.27
720, -28.22
721, 138.91
722, 240.63
723, 225.12
724, 190.78
725, 50.47
726, 89.57
727, -141.19
728, -5.57
729, 36.15
730, 249.04
731, 222.49
732, 103.43
733, 250.49
734, 136.57
735, 210.37
736, 218.04
737, 156.30
738, 224.75
739, -49.71
740, 216.49
741, -21.31
742, 114.80
743, -61.10
744, 108.62
745, 27.78
746, 241.00
747, 238.33
748, -39.16
749, 221.13
750, 92.12
751, -63.93
752, 106.75
753, -54.11
754, 95.09
755, 99.53
756, 129.26
757, 257.25
758, 129.70
759, 207.84
760, -4.98
761, 232.82
762, 233.15
763, 211.10
764, 149.10
765, 271.78
766, 21.68
767, 143.37
768, 68.70
769, 169.50
770, 244.98
771, 243.65
772, 214.06
773, 250.57
774, 211.24
775, 49.53
776, 267.21
777, 233.32
778, -26.71
779, 102.53
780, 254.89
781, 194.78
782, 136.05
783, 242.38
784, 214.27
785, 276.83
786, 189.80
787, 221.42
788, 236.22
789, -13.71
790, 234.96
791, 262.75
792, 237.99
793, 94.58
794, 84.14
795, 38.73
796, -258.60
797, -13.05
798, 24.87
799, 238.60
800, 271.62
801, -17.41
802, 137.75
803, 41.33
804, 253.42
805, 8.13
806, 245.39
807, 9.50
808, 31.58
809, 212.63
810, 168.11
811, 232.56
812, 227.93
813, 259.41
814, 79.97
815, -6.15
816, -6.56
817, 213.48
818, 37.93
819, 3.83
820, 31.52
821, 267.80
822, -497.59
823, 35.63
824, 16.20
825, 133.08
826, 28.25
827, 51.66
828, 252.92
829, -590.27
830, 224.29
831, 35.88
832, 244.13
833, 248.23
834, 248.64
835, 38.75
836, -3.70
837, 28.39
838, 256.80
839, 32.04
840, 136.12
841, 51.74
842, 258.78
843, 243.57
844, 260.47
845, 57.36
846, 22.48
847, 45.01
848, 7.93
849, 256.70
850, 240.86
851, 223.88
852, -435.34
853, 174.60
854, 43.39
855, 237.62
856, 277.49
857, -6.79
858, 51.86
859, 259.87
860, 246.53
861, -510.36
862, 259.03
863, 257.90
864, -380.15
865, 210.91
866, -14.59
867, 121.41
868, -6.41
869, 243.26
870, 242.56
871, -43.45
872, 267.49
873, 31.65
874, 221.47
875, 20.58
876, -49.42
877, 35.55
878, 258.05
879, 266.59
880, 215.75
881, 254.26
882, 263.92
883, 245.05
884, 252.66
885, 13.54
886, 7.05
887, 57.65
888, 255.97
889, 151.61
890, 216.10
891, 229.77
892, 282.95
893, 280.16
894, 245.22
895, -8.68
896, 154.96
897, 232.55
898, 35.67
899, 220.33
900, 233.57
901, 232.56
902, 245.75
903, 27.97
904, 256.05
905, 219.20
906, 215.01
907, 179.88
908, 234.62
909, 272.59
910, 31.17
911, 240.45
912, 285.93
