# Episodio, Loss
0, 5.1058
1, 118.2308
2, 110.4047
3, 100.9723
4, 91.2786
5, 91.9093
6, 115.0109
7, 108.8297
8, 107.1881
9, 97.8592
10, 105.1302
11, 96.4760
12, 105.3932
13, 109.8405
14, 117.3516
15, 97.8373
16, 99.6052
17, 116.3342
18, 106.6584
19, 86.1499
20, 128.0086
21, 86.0063
22, 116.0150
23, 89.5585
24, 109.4108
25, 95.0587
26, 109.8446
27, 89.1026
28, 124.7135
29, 102.8072
30, 86.5806
31, 95.6736
32, 92.4401
33, 62.6607
34, 80.1603
35, 65.1485
36, 77.1419
37, 113.2856
38, 79.5457
39, 115.8944
40, 73.0618
41, 76.5059
42, 62.7855
43, 84.2740
44, 56.4073
45, 65.3670
46, 65.3579
47, 80.9301
48, 77.3902
49, 59.8954
50, 74.2686
51, 42.1743
52, 69.0901
53, 66.9950
54, 43.4972
55, 61.9956
56, 57.8575
57, 54.4882
58, 51.0220
59, 53.1525
60, 37.0653
61, 56.6279
62, 67.0255
63, 41.2998
64, 39.3827
65, 44.5485
66, 51.2615
67, 45.2925
68, 42.2326
69, 50.4200
70, 48.4506
71, 38.3973
72, 47.6891
73, 59.0041
74, 47.8427
75, 35.7109
76, 47.3787
77, 48.0583
78, 60.9758
79, 63.4058
80, 53.2535
81, 53.1016
82, 43.5414
83, 53.1169
84, 57.7111
85, 48.3254
86, 56.2192
87, 41.7230
88, 38.2452
89, 37.6082
90, 30.6564
91, 33.9252
92, 44.5958
93, 39.5799
94, 50.1590
95, 54.5790
96, 41.9689
97, 41.4571
98, 38.4390
99, 51.4431
100, 37.6561
101, 38.9043
102, 43.6296
103, 44.2195
104, 53.6420
105, 40.3102
106, 37.9810
107, 26.1946
108, 26.0215
109, 50.7319
110, 53.9788
111, 43.9081
112, 55.7813
113, 38.4609
114, 41.9757
115, 31.5367
116, 43.6411
117, 38.9811
118, 45.4650
119, 46.3461
120, 52.3667
121, 54.9604
122, 53.4509
123, 44.0792
124, 52.9114
125, 46.0590
126, 18.5377
127, 57.8220
128, 34.1403
129, 53.0329
130, 43.2914
131, 49.9556
132, 59.3486
133, 44.1427
134, 47.0819
135, 32.7764
136, 34.7270
137, 56.7120
138, 64.6384
139, 70.9867
140, 47.5618
141, 54.9236
142, 60.7945
143, 68.4141
144, 38.5826
145, 53.9078
146, 35.8244
147, 62.2380
148, 56.7825
149, 46.7519
150, 28.0148
151, 72.4682
152, 39.1910
153, 56.0523
154, 39.3106
155, 59.5999
156, 42.7261
157, 46.9904
158, 23.3301
159, 38.0733
160, 58.6510
161, 46.9430
162, 57.2827
163, 37.6481
164, 40.9806
165, 62.1442
166, 52.8060
167, 55.2248
168, 37.5078
169, 30.3704
170, 44.0597
171, 24.1438
172, 31.8524
173, 54.8415
174, 31.2007
175, 31.6802
176, 16.5001
177, 39.2699
178, 97.4740
179, 27.9071
180, 53.1695
181, 76.8125
182, 32.6843
183, 39.1382
184, 39.1504
185, 19.4643
186, 39.9965
187, 16.0790
188, 79.9256
189, 28.5408
190, 26.9461
191, 22.1518
192, 45.5327
193, 18.6164
194, 24.0320
195, 23.4737
196, 44.1703
197, 14.4153
198, 9.2275
199, 72.0531
200, 25.0939
201, 12.0900
202, 23.4550
203, 20.1145
204, 15.9223
205, 16.7143
206, 24.0466
207, 18.8918
208, 35.8895
209, 24.2137
210, 12.8996
211, 27.9711
212, 14.9768
213, 13.7554
214, 33.5374
215, 16.1952
216, 67.7342
217, 19.1740
218, 21.7357
219, 19.7685
220, 25.0559
221, 22.1971
222, 12.7059
223, 18.7263
224, 47.9048
225, 72.7238
226, 34.4936
227, 92.8439
228, 60.4103
229, 30.8400
