# Episodio, Score_Promedio_50ep
49, -173.70
50, -172.29
51, -170.43
52, -169.05
53, -171.36
54, -170.81
55, -170.10
56, -172.37
57, -179.97
58, -176.42
59, -174.00
60, -168.19
61, -166.88
62, -168.23
63, -163.78
64, -162.11
65, -162.07
66, -159.36
67, -157.11
68, -153.31
69, -154.03
70, -158.10
71, -160.85
72, -163.86
73, -161.85
74, -159.91
75, -161.22
76, -155.48
77, -156.42
78, -155.91
79, -156.65
80, -158.83
81, -156.05
82, -154.08
83, -148.30
84, -146.89
85, -143.34
86, -137.07
87, -136.16
88, -136.73
89, -136.06
90, -135.61
91, -137.15
92, -135.17
93, -132.94
94, -131.38
95, -128.91
96, -129.09
97, -127.47
98, -128.02
99, -129.06
100, -129.05
101, -128.20
102, -127.61
103, -124.30
104, -124.57
105, -124.59
106, -122.41
107, -118.24
108, -124.52
109, -123.08
110, -126.33
111, -125.86
112, -125.00
113, -125.24
114, -120.40
115, -123.88
116, -122.14
117, -128.31
118, -131.39
119, -130.54
120, -125.58
121, -124.19
122, -122.74
123, -121.62
124, -122.37
125, -120.23
126, -122.02
127, -121.54
128, -123.08
129, -121.69
130, -120.94
131, -120.41
132, -120.42
133, -121.82
134, -120.15
135, -119.49
136, -119.73
137, -117.38
138, -115.53
139, -115.17
140, -116.83
141, -116.07
142, -117.01
143, -116.56
144, -116.12
145, -115.41
146, -115.01
147, -113.35
148, -113.28
149, -111.26
150, -111.97
151, -116.68
152, -116.73
153, -119.43
154, -118.32
155, -122.82
156, -121.20
157, -120.21
158, -114.32
159, -112.22
160, -108.67
161, -106.06
162, -104.80
163, -105.75
164, -105.93
165, -101.42
166, -102.57
167, -98.87
168, -96.96
169, -97.86
170, -98.10
171, -97.38
172, -96.34
173, -96.46
174, -96.82
175, -103.07
176, -101.41
177, -101.62
178, -99.71
179, -103.31
180, -103.65
181, -104.19
182, -102.99
183, -105.89
184, -106.68
185, -107.38
186, -107.98
187, -108.14
188, -109.49
189, -107.35
190, -106.71
191, -105.37
192, -104.42
193, -102.43
194, -101.36
195, -101.04
196, -100.00
197, -100.15
198, -100.83
199, -101.14
200, -100.92
201, -96.42
202, -95.20
203, -92.46
204, -93.36
205, -87.80
206, -91.06
207, -91.05
208, -92.00
209, -92.21
210, -91.00
211, -88.69
212, -89.36
213, -88.69
214, -88.80
215, -88.01
216, -86.89
217, -85.15
218, -84.75
219, -83.23
220, -84.51
221, -85.09
222, -84.75
223, -85.52
224, -84.50
225, -77.43
226, -78.24
227, -77.51
228, -76.30
229, -75.05
230, -75.04
231, -75.10
232, -75.00
233, -72.77
234, -71.60
235, -73.90
236, -72.80
237, -72.28
238, -71.03
239, -71.45
240, -70.56
241, -70.66
242, -70.70
243, -71.20
244, -71.55
245, -71.91
246, -72.75
247, -72.86
248, -72.49
249, -71.70
250, -71.65
251, -71.21
252, -69.54
253, -69.11
254, -68.40
255, -69.01
256, -65.48
257, -64.91
258, -63.95
259, -64.43
260, -66.72
261, -66.99
262, -67.44
263, -67.38
264, -67.88
265, -69.77
266, -68.12
267, -68.18
268, -68.54
269, -68.90
270, -67.89
271, -66.70
272, -66.38
273, -65.64
274, -65.58
275, -66.59
276, -65.06
277, -67.63
278, -68.08
279, -65.20
280, -64.17
281, -64.23
282, -64.29
283, -64.13
284, -64.34
285, -61.18
286, -61.58
287, -61.97
288, -62.66
289, -62.34
290, -61.11
291, -60.78
292, -60.00
293, -60.41
294, -61.51
295, -61.31
296, -60.85
297, -60.58
298, -59.46
299, -61.89
300, -61.54
301, -61.00
302, -61.62
303, -60.26
304, -59.34
305, -60.92
306, -61.55
307, -65.33
308, -65.14
309, -65.73
310, -65.67
311, -68.60
312, -68.34
313, -68.69
314, -69.15
315, -68.64
316, -69.92
317, -70.21
318, -72.51
319, -72.34
320, -73.66
321, -74.43
322, -73.77
323, -72.05
324, -71.57
325, -73.57
326, -73.60
327, -71.51
328, -71.34
329, -71.18
330, -72.52
331, -70.83
332, -70.81
333, -69.21
334, -67.99
335, -68.83
336, -70.12
337, -71.52
338, -70.56
339, -74.07
340, -74.68
341, -74.09
342, -76.32
343, -76.13
344, -74.02
345, -77.26
346, -78.23
347, -77.12
348, -78.58
349, -74.97
350, -74.24
351, -74.15
352, -76.10
353, -79.81
354, -79.98
355, -84.37
356, -82.74
357, -77.49
358, -78.12
359, -77.39
360, -79.57
361, -76.56
362, -76.22
363, -75.04
364, -73.77
365, -72.86
366, -72.51
367, -71.39
368, -69.69
369, -72.91
370, -71.35
371, -69.81
372, -71.59
373, -74.86
374, -74.96
375, -72.08
376, -75.74
377, -76.56
378, -76.62
379, -76.16
380, -73.98
381, -74.18
382, -72.75
383, -72.60
384, -72.50
385, -71.32
386, -69.80
387, -71.21
388, -71.27
389, -68.47
390, -68.88
391, -72.02
392, -69.54
393, -69.54
394, -69.74
395, -66.44
396, -63.69
397, -64.72
398, -63.05
399, -64.83
400, -66.38
401, -67.50
402, -66.05
403, -63.36
404, -64.43
405, -57.97
406, -60.53
407, -63.51
408, -62.56
409, -61.45
410, -57.26
411, -57.63
412, -59.69
413, -60.95
414, -60.05
415, -61.00
416, -61.48
417, -61.68
418, -62.02
419, -59.45
420, -62.40
421, -65.89
422, -63.71
423, -63.87
424, -63.60
425, -64.49
426, -60.49
427, -62.48
428, -62.02
429, -63.34
430, -63.94
431, -64.82
432, -64.22
433, -67.16
434, -73.15
435, -75.47
436, -75.92
437, -72.94
438, -72.85
439, -72.05
440, -73.59
441, -70.05
442, -69.21
443, -70.60
444, -70.31
445, -70.88
446, -72.01
447, -70.96
448, -70.21
449, -68.91
450, -68.76
451, -68.18
452, -66.33
453, -67.27
454, -66.10
455, -62.58
456, -64.58
457, -64.12
458, -63.93
459, -64.09
460, -64.79
461, -64.90
462, -61.67
463, -59.06
464, -57.49
465, -55.96
466, -53.86
467, -58.18
468, -57.65
469, -58.06
470, -55.97
471, -51.34
472, -50.83
473, -49.67
474, -50.18
475, -48.93
476, -48.62
477, -43.68
478, -45.65
479, -47.40
480, -45.60
481, -44.29
482, -47.00
483, -42.37
484, -39.96
485, -36.64
486, -34.95
487, -34.64
488, -35.51
489, -35.36
490, -32.03
491, -34.93
492, -35.69
493, -30.99
494, -29.51
495, -24.62
496, -23.23
497, -21.89
498, -21.13
499, -19.29
500, -17.20
501, -16.32
502, -17.09
503, -15.24
504, -15.17
505, -16.41
506, -16.15
507, -14.29
508, -15.15
509, -14.53
510, -13.12
511, -13.24
512, -12.50
513, -14.59
514, -14.52
515, -12.22
516, -13.13
517, -8.15
518, -6.94
519, -7.65
520, -4.90
521, -5.95
522, -6.20
523, -3.37
524, -1.80
525, -0.25
526, 0.24
527, -0.69
528, 2.60
529, 5.52
530, 5.23
531, 5.76
532, 8.03
533, 3.04
534, 5.67
535, 5.15
536, 4.68
537, 6.82
538, 7.62
539, 8.18
540, 8.91
541, 11.19
542, 10.73
543, 8.28
544, 7.56
545, 4.14
546, 2.24
547, 3.04
548, 4.40
549, 3.69
550, 3.51
551, 4.20
552, 3.77
553, 4.88
554, 6.85
555, 5.87
556, 11.40
557, 10.64
558, 12.72
559, 13.98
560, 13.20
561, 14.48
562, 12.74
563, 13.72
564, 13.12
565, 12.96
566, 14.09
567, 15.05
568, 15.46
569, 19.09
570, 20.47
571, 19.21
572, 20.50
573, 18.47
574, 17.48
575, 16.05
576, 11.45
577, 13.04
578, 11.41
579, 12.32
580, 11.11
581, 11.78
582, 14.29
583, 22.96
584, 22.68
585, 21.74
586, 23.73
587, 22.07
588, 24.68
589, 24.43
590, 24.21
591, 27.20
592, 28.49
593, 27.73
594, 28.24
595, 29.70
596, 32.16
597, 32.49
598, 31.41
599, 32.28
600, 33.09
601, 33.54
602, 33.11
603, 28.42
604, 30.89
605, 34.37
606, 34.62
607, 33.55
608, 33.40
609, 32.21
610, 30.78
611, 30.44
612, 30.49
613, 26.79
614, 26.70
615, 28.56
616, 26.93
617, 26.05
618, 25.94
619, 26.53
620, 26.43
621, 26.32
622, 24.64
623, 26.17
624, 30.19
625, 30.46
626, 39.14
627, 36.73
628, 37.37
629, 39.22
630, 40.07
631, 39.08
632, 37.13
633, 35.50
634, 35.76
635, 36.62
636, 36.71
637, 36.98
638, 37.25
639, 38.31
640, 39.70
641, 41.56
642, 42.64
643, 45.15
644, 44.40
645, 44.76
646, 37.42
647, 37.49
648, 36.79
649, 37.35
650, 39.40
651, 40.79
652, 40.81
653, 45.57
654, 41.25
655, 39.96
656, 39.40
657, 45.85
658, 49.49
659, 50.79
660, 53.86
661, 55.55
662, 58.86
663, 64.69
664, 63.40
665, 61.87
666, 63.79
667, 63.34
668, 62.83
669, 62.00
670, 59.44
671, 60.50
672, 61.31
673, 62.85
674, 62.26
675, 64.43
676, 60.78
677, 62.39
678, 64.63
679, 63.65
680, 67.07
681, 71.05
682, 71.97
683, 73.05
684, 75.29
685, 78.63
686, 81.19
687, 83.71
688, 86.63
689, 90.86
690, 93.53
691, 91.42
692, 91.06
693, 91.18
694, 94.18
695, 93.58
696, 99.10
697, 98.15
698, 97.86
699, 97.43
700, 97.01
701, 94.07
702, 96.90
703, 95.15
704, 99.32
705, 92.96
706, 91.96
707, 93.28
708, 87.60
709, 85.29
710, 83.79
711, 81.58
712, 79.97
713, 83.04
714, 83.32
715, 81.22
716, 85.16
717, 88.00
718, 88.36
719, 92.64
720, 95.01
721, 99.54
722, 99.26
723, 99.06
724, 98.12
725, 97.79
726, 95.24
727, 96.29
728, 99.23
729, 102.30
730, 97.37
731, 93.98
732, 92.71
733, 90.75
734, 93.50
735, 90.02
736, 86.34
737, 85.06
738, 85.11
739, 82.42
740, 82.18
741, 81.01
742, 80.67
743, 80.37
744, 80.03
745, 82.17
746, 86.74
747, 90.82
748, 94.73
749, 95.77
750, 95.15
751, 96.17
752, 93.93
753, 96.80
754, 92.69
755, 101.56
756, 105.99
757, 104.61
758, 109.81
759, 110.63
760, 115.50
761, 115.40
762, 115.29
763, 114.01
764, 109.92
765, 111.29
766, 110.02
767, 110.54
768, 114.79
769, 112.88
770, 114.87
771, 111.32
772, 112.98
773, 113.66
774, 115.93
775, 117.86
776, 120.32
777, 122.71
778, 118.56
779, 113.86
780, 114.48
781, 115.00
782, 114.05
783, 115.37
784, 112.29
785, 116.86
786, 116.70
787, 118.94
788, 118.80
789, 120.76
790, 120.33
791, 124.47
792, 124.85
793, 125.57
794, 124.71
795, 125.28
796, 125.75
797, 124.41
798, 121.36
799, 123.25
800, 124.31
801, 129.17
802, 128.96
803, 125.92
804, 126.57
805, 124.27
806, 121.45
807, 116.87
808, 112.38
809, 115.90
810, 115.52
811, 120.53
812, 119.65
813, 118.64
814, 126.08
815, 129.36
816, 123.50
817, 120.63
818, 120.60
819, 116.93
820, 113.80
821, 116.07
822, 114.00
823, 112.39
824, 112.35
825, 113.64
826, 114.56
827, 114.87
828, 118.01
829, 121.93
830, 122.80
831, 121.08
832, 125.43
833, 126.56
834, 125.03
835, 125.50
836, 126.62
837, 127.79
838, 123.28
839, 123.37
840, 119.76
841, 119.61
842, 123.24
843, 123.27
844, 122.12
845, 123.38
846, 119.89
847, 121.65
848, 124.63
849, 121.02
850, 122.23
851, 117.27
852, 118.23
853, 123.25
854, 122.22
855, 118.01
856, 120.05
857, 124.90
858, 124.89
859, 125.22
860, 120.64
861, 120.79
862, 123.39
863, 121.19
864, 118.58
865, 115.54
866, 121.03
867, 125.74
868, 126.83
869, 127.14
870, 126.19
871, 127.73
872, 132.40
873, 136.16
874, 137.26
875, 136.34
876, 135.28
877, 135.04
878, 135.72
879, 136.71
880, 140.44
881, 141.16
882, 137.20
883, 131.60
884, 135.06
885, 130.33
886, 134.37
887, 134.09
888, 139.16
889, 140.03
890, 144.56
891, 142.54
892, 137.92
893, 135.84
894, 135.46
895, 130.46
896, 134.48
897, 133.56
898, 134.23
899, 133.80
900, 134.65
901, 138.65
902, 138.87
903, 137.41
904, 138.58
905, 139.54
906, 136.67
907, 132.61
908, 133.36
909, 132.72
910, 137.11
911, 137.37
912, 136.29
913, 135.94
914, 136.07
915, 139.61
916, 141.32
917, 141.84
918, 141.14
919, 146.24
920, 151.01
921, 146.74
922, 142.77
923, 142.97
924, 142.98
925, 141.01
926, 139.41
927, 134.83
928, 134.68
929, 129.72
930, 125.22
931, 129.55
932, 130.53
933, 135.77
934, 133.47
935, 133.68
936, 132.83
937, 132.93
938, 132.25
939, 127.28
940, 126.24
941, 123.49
942, 123.45
943, 128.06
944, 126.91
945, 126.65
946, 121.15
947, 117.48
948, 117.62
949, 117.19
950, 117.21
951, 117.76
952, 117.40
953, 114.36
954, 116.79
955, 122.18
956, 126.54
957, 130.84
958, 135.74
959, 132.21
960, 132.77
961, 132.45
962, 135.71
963, 136.54
964, 141.40
965, 136.73
966, 135.89
967, 135.41
968, 131.29
969, 131.01
970, 131.30
971, 135.65
972, 140.28
973, 140.47
974, 140.56
975, 143.44
976, 149.82
977, 155.11
978, 151.68
979, 156.47
980, 161.89
981, 161.60
982, 164.01
983, 160.21
984, 164.24
985, 168.66
986, 168.70
987, 168.62
988, 168.56
989, 173.20
990, 168.87
991, 170.26
992, 174.73
993, 175.42
994, 181.99
995, 185.43
996, 191.36
997, 195.81
998, 196.18
999, 199.56
1000, 197.88
1001, 197.63
1002, 202.12
1003, 207.42
1004, 209.43
1005, 209.95
1006, 204.89
1007, 202.32
1008, 202.41
1009, 207.67
1010, 207.28
1011, 206.97
1012, 206.20
1013, 209.92
1014, 205.14
1015, 203.25
1016, 202.37
1017, 202.15
1018, 206.59
1019, 206.61
1020, 206.77
1021, 206.87
1022, 207.23
1023, 206.66
1024, 205.94
1025, 205.95
1026, 205.68
1027, 201.00
1028, 204.17
1029, 204.07
1030, 204.53
1031, 200.47
1032, 202.66
1033, 206.92
1034, 202.49
1035, 202.35
1036, 198.53
1037, 199.27
1038, 195.42
1039, 190.69
1040, 195.43
1041, 198.54
1042, 199.29
1043, 198.52
1044, 191.81
1045, 189.43
1046, 188.83
1047, 187.65
1048, 187.34
1049, 188.73
1050, 190.43
1051, 191.23
1052, 191.71
1053, 191.93
1054, 188.52
1055, 188.81
1056, 193.18
1057, 192.86
1058, 191.86
1059, 191.46
1060, 191.82
1061, 192.42
1062, 193.50
1063, 193.52
1064, 197.55
1065, 203.35
1066, 204.63
1067, 204.94
1068, 200.47
1069, 199.38
1070, 199.28
1071, 199.32
1072, 198.80
1073, 199.67
1074, 199.92
1075, 199.28
1076, 199.00
1077, 203.62
1078, 203.32
1079, 202.83
1080, 202.51
1081, 207.26
1082, 202.34
1083, 202.52
1084, 206.97
1085, 207.84
1086, 207.86
1087, 201.30
1088, 205.11
1089, 209.95
1090, 210.65
1091, 211.99
1092, 212.06
1093, 211.67
1094, 213.48
1095, 216.48
1096, 211.50
1097, 210.82
1098, 210.94
1099, 211.46
1100, 207.14
1101, 207.34
1102, 203.83
1103, 203.44
1104, 206.80
1105, 206.15
1106, 207.70
1107, 211.35
1108, 211.28
1109, 205.75
1110, 205.46
1111, 200.77
1112, 199.04
1113, 195.50
1114, 196.04
1115, 197.60
1116, 196.35
1117, 196.66
1118, 201.21
1119, 198.41
1120, 193.62
1121, 187.64
1122, 187.71
1123, 186.74
1124, 187.24
1125, 183.22
1126, 184.03
1127, 183.78
1128, 184.74
1129, 184.27
1130, 184.34
1131, 176.38
1132, 181.37
1133, 176.15
1134, 171.78
1135, 171.32
1136, 175.11
1137, 176.05
1138, 172.02
1139, 172.38
1140, 172.05
1141, 170.76
1142, 165.16
1143, 165.33
1144, 164.90
1145, 165.52
1146, 170.47
1147, 168.14
1148, 163.76
1149, 159.55
1150, 164.22
1151, 161.78
1152, 160.44
1153, 155.71
1154, 155.21
1155, 155.39
1156, 154.72
1157, 149.42
1158, 145.34
1159, 147.14
1160, 146.85
1161, 151.23
1162, 146.93
1163, 150.77
1164, 151.15
1165, 145.78
1166, 146.97
1167, 146.72
1168, 146.65
1169, 151.24
1170, 156.07
1171, 162.38
1172, 162.31
